Full-Mol Wiener Index,Individual Conju-Atom Number (Max-Conju),Conju-Part-Wt (Max-Conju),Conju-AtomicWt (Max-Conju),Max Conju-Distance (Max-Conju),Conju-Branch Index (Max-Conju),Conju-Strut Wiener Index (Max-Conju),Conju-Strut-VSA (Max-Conju),Fun_PEOE-Charge_Sum,Fun_LogP_Sum,Fun_MR_Sum,Fun_PEOE-Charge_Mean,Fun_LogP_Mean,Fun_MR_Mean,Fun_PEOE-Charge_Std,Fun_LogP_Std,Fun_MR_Std,Fun_PEOE-Charge_Max,Fun_LogP_Max,Fun_MR_Max,Fun_PEOE-Charge_Min,Fun_LogP_Min,Fun_MR_Min,Fun_PEOE-Charge_Delta,Fun_LogP_Delta,Fun_MR_Delta,Mid-Fun_PEOE-Charge_Sum,Mid-Fun_LogP_Sum,Mid-Fun_MR_Sum,Mid-Fun_PEOE-Charge_Mean,Mid-Fun_LogP_Mean,Mid-Fun_MR_Mean,Mid-Fun_PEOE-Charge_Std,Mid-Fun_LogP_Std,Mid-Fun_MR_Std,Mid-Fun_PEOE-Charge_Max,Mid-Fun_LogP_Max,Mid-Fun_MR_Max,Mid-Fun_PEOE-Charge_Min,Mid-Fun_LogP_Min,Mid-Fun_MR_Min,Mid-Fun_PEOE-Charge_Delta,Mid-Fun_LogP_Delta,Mid-Fun_MR_Delta,Conju_PEOE-Charge_Sum,Conju_LogP_Sum,Conju_MR_Sum,Conju_PEOE-Charge_Mean,Conju_LogP_Mean,Conju_MR_Mean,Conju_PEOE-Charge_Std,Conju_LogP_Std,Conju_MR_Std,Conju_PEOE-Charge_Max,Conju_LogP_Max,Conju_MR_Max,Conju_PEOE-Charge_Min,Conju_LogP_Min,Conju_MR_Min,Conju_PEOE-Charge_Delta,Conju_LogP_Delta,Conju_MR_Delta
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
1.311111111,5,62.051,0.4102,2,1,0.75,77.74028101,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942,-0.236554741,0.3783,27.4658,-0.118277371,0.18915,13.7329,0.010760029,0.61135,6.0971,-0.107517342,0.8005,19.83,-0.1290374,-0.4222,7.6358,0.021520058,1.2227,12.1942
